time,x-rotation,y-rotation,z-rotation
29.160,25.530,17.774,25.675
29.200,65.095,16.250,28.533
29.240,24.672,37.287,49.787
29.280,-0.823,57.771,66.875
29.320,42.889,59.383,68.186
29.360,39.417,77.965,75.755
29.400,13.784,110.484,88.948
29.440,21.174,124.874,111.471
29.480,81.338,124.874,124.874
29.520,81.986,124.558,124.874
29.560,-79.287,124.104,115.911
29.600,-81.662,68.918,25.896
29.640,90.370,-10.751,-100.343
29.680,-16.547,-77.146,-124.874
29.720,-124.874,-124.874,-124.558
29.760,-107.698,-124.874,-124.162
29.800,-53.129,-123.975,-124.874
29.840,-124.874,-124.867,-124.874
29.880,-124.874,-112.306,-124.859
29.920,-53.590,-72.050,-71.700
29.960,-0.701,46.239,64.177
30.000,-83.296,70.606,82.100
30.040,-50.530,0.320,106.486
30.080,-22.656,-23.418,101.052
30.120,-54.710,-9.638,66.250
30.160,-34.425,-16.364,40.412
30.200,-14.306,-13.796,31.448
30.240,3.582,-19.234,21.014
30.280,15.191,-20.983,19.249
30.320,-7.473,-12.534,21.216
30.360,-10.854,-10.396,23.418
30.400,-8.266,-5.987,27.397
30.440,-14.985,-2.290,24.825
30.480,-10.850,-2.389,22.138
30.520,-7.298,-2.938,21.833
30.560,-8.056,-2.542,17.683
30.600,0.252,-2.085,14.425
30.640,2.336,-0.560,11.730
30.680,-3.098,2.195,11.311
30.720,4.386,5.313,13.807
30.760,1.090,10.701,12.973
30.800,-8.365,12.652,4.699
30.840,-8.476,12.801,-3.659
30.880,-4.284,13.822,-6.037
30.920,-4.432,12.046,-6.284
30.960,-10.324,11.391,-11.825
31.000,-5.133,6.254,-16.662
31.040,-9.295,3.014,-18.453
31.080,-9.775,0.358,-21.867
31.120,-15.130,-0.720,-23.579
31.160,-12.995,9.386,-14.729
31.200,9.211,23.929,-0.926
31.240,17.409,25.949,2.405
31.280,14.184,19.638,-2.626
31.320,8.274,15.556,-6.071
31.360,15.267,10.057,-10.819
31.400,15.415,4.741,-16.871
31.440,16.631,1.502,-20.827
31.480,23.213,-2.515,-23.910
31.520,19.760,-1.132,-24.783
31.560,9.085,4.409,-22.572
31.600,2.915,12.527,-18.384
31.640,-1.296,20.728,-12.351
31.680,-7.988,31.079,-4.264
31.720,-27.504,45.655,12.614
31.760,-55.968,59.882,36.162
31.800,-105.945,60.610,30.998
31.840,-124.874,35.888,1.532
31.880,-124.874,18.068,-39.733
31.920,-124.367,10.953,-66.978
31.960,-124.874,-0.785,-57.168
32.000,-124.874,-6.010,-39.207
32.040,-104.223,-9.108,-20.819
32.080,-29.889,13.579,19.101
32.120,32.409,-5.964,23.476
32.160,22.553,-13.369,9.314
32.200,-60.149,-2.595,11.871
